id_client;sexe;date_naissance;enfant_conduite_accompagne;nombre_enfants;revenus;valeur_residence_prin;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;tarif_devis;Âge;Age calculé;Tranche de revenu;Nombre d'enfant presence;Id_Client Index aléatoire;Tranche d'Age calculé anonyme;Jour
63581743;M;09/04/1981 00:00;0;0;67349;0;Private;Minivan;yes;3;18.0;Highly Urban/ Urban;16/11/2021;complet;dev_integral;280.62;9.00:00:00;42;[60K€-80K€];NON ;0,378391702;[40-50];16
132761049;M;06/01/1985 00:00;0;0;91449;257252;Commercial;Minivan;yes;0;1.0;Highly Urban/ Urban;04/09/2020;complet;dev_integral;294.62;10.00:00:00;38;[80K€-100K€];NON ;0,23855704;[30-40];4
921317019;M;19/06/1941 00:00;0;0;52881;0;Private;Van;yes;2;10.0;Highly Urban/ Urban;12/01/2020;complet;dev_express;281.6;30.00:00:00;82;[40K€-60K€];NON ;0,728925952;[80-90];12
727598473;F;18/09/1963 00:00;0;1;16039;124191;Private;z_SUV;no;3;10.0;Highly Urban/ Urban;31/07/2020;complet;dev_premium;373.47;1.00:00:00;59;[0K€-20K€];OUI;0,660140619;[50-60];31
450221861;M;25/12/1984 00:00;0;0;;306251;Private;Minivan;yes;0;6.0;Highly Urban/ Urban;24/02/2020;incomplet;dev_premium;380.4;22.00:00:00;38;;NON ;0,338824634;[30-40];24
743146596;F;24/10/2013 00:00;0;0;114986;243925;Private;z_SUV;no;3;17.0;Highly Urban/ Urban;26/11/2020;incomplet;dev_express;278.3;25.00:00:00;9;[100K€-120K€];NON ;0,767287069;[0-10];26
871024631;F;25/09/1999 00:00;0;1;125301;0;Commercial;Sports Car;no;0;7.0;Highly Urban/ Urban;25/02/2022;complet;dev_integral;323.39;25.00:00:00;23;[120K€-140K€];OUI;0,977983452;[20-30];25
792300541;F;15/04/1959 00:00;0;0;18755;;Private;z_SUV;no;0;1.0;Highly Urban/ Urban;25/02/2022;incomplet;dev_premium;354.37;4.00:00:00;64;[0K€-20K€];NON ;0,439991631;[60-70];25
7945239;F;28/01/1932 00:00;1;1;50815;0;Private;Minivan;no;2;1.0;Highly Urban/ Urban;24/05/2022;complet;dev_express;257.56;20.00:00:00;91;[40K€-60K€];OUI;0,414645076;[90-100];24
3577610;F;23/01/1971 00:00;0;2;43486;0;Commercial;z_SUV;no;0;10.0;z_Highly Rural/ Rural;13/03/2020;complet;dev_integral;296.88;25.00:00:00;52;[40K€-60K€];OUI;0,311234683;[50-60];13
892208080;M;16/05/2018 00:00;1;2;107961;333680;Commercial;Van;yes;10;7.0;Highly Urban/ Urban;01/07/2020;complet;dev_premium;324.08;3.00:00:00;5;[100K€-120K€];OUI;0,406518487;[0-10];1
